GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,2023.0,CRS,Congenital rubella syndrome,124.0
WHO_REGIONS,AFR,African Region,2023.0,DIPHTHERIA,Diphtheria,18684.0
WHO_REGIONS,AFR,African Region,2023.0,INVASIVE_MENING,Invasive meningococcal disease,828.0
WHO_REGIONS,AFR,African Region,2023.0,JAPENC,Japanese encephalitis,2.0
WHO_REGIONS,AFR,African Region,2023.0,MEASLES,Measles,424433.0
WHO_REGIONS,AFR,African Region,2023.0,MUMPS,Mumps,317304.0
WHO_REGIONS,AFR,African Region,2023.0,NTETANUS,Neonatal tetanus,3654.0
WHO_REGIONS,AFR,African Region,2023.0,PERTUSSIS,Pertussis,5207.0
WHO_REGIONS,AFR,African Region,2023.0,POLIO,Poliomyelitis,503.0
WHO_REGIONS,AFR,African Region,2023.0,RUBELLA,Rubella,26295.0
WHO_REGIONS,AFR,African Region,2023.0,TTETANUS,Total tetanus,16324.0
WHO_REGIONS,AFR,African Region,2023.0,TYPHOID,Typhoid,3635591.0
WHO_REGIONS,AFR,African Region,2023.0,YFEVER,Yellow fever,435.0
WHO_REGIONS,AFR,African Region,2022.0,CRS,Congenital rubella syndrome,5.0
WHO_REGIONS,AFR,African Region,2022.0,DIPHTHERIA,Diphtheria,4856.0
WHO_REGIONS,AFR,African Region,2022.0,INVASIVE_MENING,Invasive meningococcal disease,11874.0
WHO_REGIONS,AFR,African Region,2022.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2022.0,MEASLES,Measles,97230.0
WHO_REGIONS,AFR,African Region,2022.0,MUMPS,Mumps,231965.0
WHO_REGIONS,AFR,African Region,2022.0,NTETANUS,Neonatal tetanus,1149.0
WHO_REGIONS,AFR,African Region,2022.0,PERTUSSIS,Pertussis,4643.0
WHO_REGIONS,AFR,African Region,2022.0,POLIO,Poliomyelitis,694.0
WHO_REGIONS,AFR,African Region,2022.0,RUBELLA,Rubella,10297.0
WHO_REGIONS,AFR,African Region,2022.0,TTETANUS,Total tetanus,3477.0
