GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,6207914.0,4223005.0,68.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,6559616.0,3198376.0,49.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,6207914.0,3651707.0,59.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,6559616.0,2621277.0,40.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,1864187.0,1637402.0,88.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,9660825.0,97.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,9300737.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9947630.0,3549095.0,36.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,HEPB3,"HepB, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,8957146.0,90.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,HIB3,"Hib, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,9205103.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,9198410.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10970968.0,9937459.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,8584362.0,87.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,POL3,"Polio, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,9914798.0,9235450.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,6207914.0,4043436.0,65.0
