GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2023.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2023.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",23.9
WHO_REGIONS,AFR,African Region,2023.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",2.6
WHO_REGIONS,AFR,African Region,2023.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2023.0,MEASLES,Measles,"per 1,000,000 total population",343.0
WHO_REGIONS,AFR,African Region,2023.0,MUMPS,Mumps,"per 1,000,000 total population",761.5
WHO_REGIONS,AFR,African Region,2023.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2023.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",8.4
WHO_REGIONS,AFR,African Region,2023.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.4
WHO_REGIONS,AFR,African Region,2023.0,RUBELLA,Rubella,"per 1,000,000 total population",21.9
WHO_REGIONS,AFR,African Region,2023.0,TTETANUS,Total tetanus,"per 1,000,000 total population",13.2
WHO_REGIONS,AFR,African Region,2023.0,TYPHOID,Typhoid,"per 1,000,000 total population",5743.2
WHO_REGIONS,AFR,African Region,2023.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2022.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2022.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",8.8
WHO_REGIONS,AFR,African Region,2022.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",26.6
WHO_REGIONS,AFR,African Region,2022.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2022.0,MEASLES,Measles,"per 1,000,000 total population",80.5
WHO_REGIONS,AFR,African Region,2022.0,MUMPS,Mumps,"per 1,000,000 total population",671.6
WHO_REGIONS,AFR,African Region,2022.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2022.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",7.3
WHO_REGIONS,AFR,African Region,2022.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.2
WHO_REGIONS,AFR,African Region,2022.0,RUBELLA,Rubella,"per 1,000,000 total population",8.9
WHO_REGIONS,AFR,African Region,2022.0,TTETANUS,Total tetanus,"per 1,000,000 total population",2.9
WHO_REGIONS,AFR,African Region,2022.0,TYPHOID,Typhoid,"per 1,000,000 total population",4602.7
WHO_REGIONS,AFR,African Region,2022.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2021.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2021.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",11.0
WHO_REGIONS,AFR,African Region,2021.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",58.1
WHO_REGIONS,AFR,African Region,2021.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2021.0,MEASLES,Measles,"per 1,000,000 total population",80.8
WHO_REGIONS,AFR,African Region,2021.0,MUMPS,Mumps,"per 1,000,000 total population",204.9
WHO_REGIONS,AFR,African Region,2021.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2021.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2021.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.1
WHO_REGIONS,AFR,African Region,2021.0,RUBELLA,Rubella,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2021.0,TTETANUS,Total tetanus,"per 1,000,000 total population",2.8
WHO_REGIONS,AFR,African Region,2021.0,TYPHOID,Typhoid,"per 1,000,000 total population",3282.1
WHO_REGIONS,AFR,African Region,2021.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2020.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2020.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",12.8
WHO_REGIONS,AFR,African Region,2020.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",40.0
WHO_REGIONS,AFR,African Region,2020.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2020.0,MEASLES,Measles,"per 1,000,000 total population",104.8
WHO_REGIONS,AFR,African Region,2020.0,MUMPS,Mumps,"per 1,000,000 total population",290.8
WHO_REGIONS,AFR,African Region,2020.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2020.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",4.9
WHO_REGIONS,AFR,African Region,2020.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.2
WHO_REGIONS,AFR,African Region,2020.0,RUBELLA,Rubella,"per 1,000,000 total population",4.6
WHO_REGIONS,AFR,African Region,2020.0,TTETANUS,Total tetanus,"per 1,000,000 total population",7.0
WHO_REGIONS,AFR,African Region,2020.0,TYPHOID,Typhoid,"per 1,000,000 total population",3959.3
WHO_REGIONS,AFR,African Region,2020.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.1
WHO_REGIONS,AFR,African Region,2019.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2019.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",17.1
WHO_REGIONS,AFR,African Region,2019.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2019.0,MEASLES,Measles,"per 1,000,000 total population",551.8
WHO_REGIONS,AFR,African Region,2019.0,MUMPS,Mumps,"per 1,000,000 total population",195.1
WHO_REGIONS,AFR,African Region,2019.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2019.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",8.6
WHO_REGIONS,AFR,African Region,2019.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.7
WHO_REGIONS,AFR,African Region,2019.0,RUBELLA,Rubella,"per 1,000,000 total population",5.4
WHO_REGIONS,AFR,African Region,2019.0,TTETANUS,Total tetanus,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2019.0,TYPHOID,Typhoid,"per 1,000,000 total population",1364.5
WHO_REGIONS,AFR,African Region,2019.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2018.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2018.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",3.4
WHO_REGIONS,AFR,African Region,2018.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2018.0,MEASLES,Measles,"per 1,000,000 total population",114.9
WHO_REGIONS,AFR,African Region,2018.0,MUMPS,Mumps,"per 1,000,000 total population",271.8
WHO_REGIONS,AFR,African Region,2018.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2018.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",16.4
WHO_REGIONS,AFR,African Region,2018.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.1
WHO_REGIONS,AFR,African Region,2018.0,RUBELLA,Rubella,"per 1,000,000 total population",10.8
WHO_REGIONS,AFR,African Region,2018.0,TTETANUS,Total tetanus,"per 1,000,000 total population",4.9
WHO_REGIONS,AFR,African Region,2018.0,TYPHOID,Typhoid,"per 1,000,000 total population",9.1
WHO_REGIONS,AFR,African Region,2018.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.7
WHO_REGIONS,AFR,African Region,2017.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2017.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2017.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2017.0,MEASLES,Measles,"per 1,000,000 total population",68.2
WHO_REGIONS,AFR,African Region,2017.0,MUMPS,Mumps,"per 1,000,000 total population",174.5
WHO_REGIONS,AFR,African Region,2017.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2017.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",10.5
WHO_REGIONS,AFR,African Region,2017.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
WHO_REGIONS,AFR,African Region,2017.0,RUBELLA,Rubella,"per 1,000,000 total population",6.4
WHO_REGIONS,AFR,African Region,2017.0,TTETANUS,Total tetanus,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2017.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2016.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2016.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",9.4
WHO_REGIONS,AFR,African Region,2016.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2016.0,MEASLES,Measles,"per 1,000,000 total population",35.9
WHO_REGIONS,AFR,African Region,2016.0,MUMPS,Mumps,"per 1,000,000 total population",412.2
WHO_REGIONS,AFR,African Region,2016.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2016.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",3.1
WHO_REGIONS,AFR,African Region,2016.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
WHO_REGIONS,AFR,African Region,2016.0,RUBELLA,Rubella,"per 1,000,000 total population",4.2
WHO_REGIONS,AFR,African Region,2016.0,TTETANUS,Total tetanus,"per 1,000,000 total population",7.0
WHO_REGIONS,AFR,African Region,2016.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.2
WHO_REGIONS,AFR,African Region,2015.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2015.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",4.5
WHO_REGIONS,AFR,African Region,2015.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2015.0,MEASLES,Measles,"per 1,000,000 total population",52.2
WHO_REGIONS,AFR,African Region,2015.0,MUMPS,Mumps,"per 1,000,000 total population",137.8
WHO_REGIONS,AFR,African Region,2015.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2015.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",11.6
WHO_REGIONS,AFR,African Region,2015.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
WHO_REGIONS,AFR,African Region,2015.0,RUBELLA,Rubella,"per 1,000,000 total population",5.4
WHO_REGIONS,AFR,African Region,2015.0,TTETANUS,Total tetanus,"per 1,000,000 total population",4.1
WHO_REGIONS,AFR,African Region,2015.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2014.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2014.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2014.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2014.0,MEASLES,Measles,"per 1,000,000 total population",75.0
WHO_REGIONS,AFR,African Region,2014.0,MUMPS,Mumps,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2014.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2014.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",17.6
WHO_REGIONS,AFR,African Region,2014.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
WHO_REGIONS,AFR,African Region,2014.0,RUBELLA,Rubella,"per 1,000,000 total population",7.7
WHO_REGIONS,AFR,African Region,2014.0,TTETANUS,Total tetanus,"per 1,000,000 total population",3.5
WHO_REGIONS,AFR,African Region,2014.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2013.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2013.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2013.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2013.0,MEASLES,Measles,"per 1,000,000 total population",178.5
WHO_REGIONS,AFR,African Region,2013.0,MUMPS,Mumps,"per 1,000,000 total population",49.8
WHO_REGIONS,AFR,African Region,2013.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2013.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",18.2
WHO_REGIONS,AFR,African Region,2013.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.2
WHO_REGIONS,AFR,African Region,2013.0,RUBELLA,Rubella,"per 1,000,000 total population",14.8
WHO_REGIONS,AFR,African Region,2013.0,TTETANUS,Total tetanus,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2013.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2012.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
